"year","sex","age","deaths"
2019,"male",85,817.817879708811
2020,"male",0,185.358718136691
2020,"male",1,27.0365065962201
2020,"male",5,17.0229856346571
2020,"male",10,37.0500275577831
2020,"male",15,105.141970096412
2020,"male",20,141.190645558038
2020,"male",25,227.30692582748
2020,"male",30,250.338024039075
2020,"male",35,309.417797712297
2020,"male",40,407.550303135614
2020,"male",45,550.743652885965
2020,"male",50,614.830187039968
2020,"male",55,808.091141598134
2020,"male",60,877.184436232919
2020,"male",65,848.145225444386
2020,"male",70,843.138464963605
2020,"male",75,774.04517032882
2020,"male",80,731.988382290255
2020,"male",85,1131.52786865662
2021,"male",0,195.972605917461
2021,"male",1,35.0269832141077
2021,"male",5,26.0200446733371
2021,"male",10,33.0254413161587
2021,"male",15,88.0678435097565
2021,"male",20,199.153418845927
2021,"male",25,263.202759580295
2021,"male",30,323.249016518765
2021,"male",35,407.313776232624
2021,"male",40,496.382390691355
2021,"male",45,709.546602822924
2021,"male",50,737.568189394211
2021,"male",55,891.686915536284
2021,"male",60,1035.79793218861
2021,"male",65,964.743194811423
2021,"male",70,1009.77788751528
2021,"male",75,913.703876413723
2021,"male",80,800.616759179604
2021,"male",85,1253.96599906506
2022,"male",0,187.341882598696
2022,"male",1,46.0663513269925
2022,"male",5,22.0317332433443
2022,"male",10,29.0418301844083
2022,"male",15,102.147126855505
2022,"male",20,150.216363022802
2022,"male",25,206.297138551314
2022,"male",30,236.340411155875
2022,"male",35,260.375029239523
2022,"male",40,309.445707826972
2022,"male",45,372.536580296548
2022,"male",50,499.719767655854
2022,"male",55,560.807755285126
2022,"male",60,647.933245838351
2022,"male",65,669.964979081696
2022,"male",70,746.074603013249
2022,"male",75,717.03277282884
2022,"male",80,700.008251686256
2022,"male",85,1173.69051641816
2023,"male",0,188.864519305956
2023,"male",1,35.0553593114691
2023,"male",5,28.0442874491753
2023,"male",10,33.0521959222423
2023,"male",15,96.1518426828867
2023,"male",20,158.249907748918
2023,"male",25,209.330574174201
2023,"male",30,225.355881288016
2023,"male",35,258.408077210258
2023,"male",40,291.4602731325
2023,"male",45,375.593135480026
2023,"male",50,451.713344270645
2023,"male",55,537.849370007397
2023,"male",60,565.893657456573
2023,"male",65,648.023356414872
2023,"male",70,675.066062169434
2023,"male",75,639.009121163351
2023,"male",80,588.930036432681
2023,"male",85,959.51526343964
2024,"male",0,148.083099382369
2024,"male",1,36.0202133632791
2024,"male",5,30.0168444693992
2024,"male",10,39.021897810219
2024,"male",15,93.0522178551376
2024,"male",20,155.087029758563
2024,"male",25,181.101628298709
2024,"male",30,228.128017967434
2024,"male",35,274.153846153846
2024,"male",40,314.176305446378
2024,"male",45,338.189781021898
2024,"male",50,484.271757439641
2024,"male",55,513.288040426727
2024,"male",60,618.346996069624
2024,"male",65,676.379562043796
2024,"male",70,688.386299831555
2024,"male",75,675.379000561482
2024,"male",80,615.345311622684
2024,"male",85,1019.57215047726
1990,"female",0,630.005350004347
1990,"female",1,151.770194581019
1990,"female",5,36.9146557068845
1990,"female",10,35.4904791749831
1990,"female",15,38.8735160015239
1990,"female",20,38.0784842662079
1990,"female",25,37.782721391315
1990,"female",30,41.5745613192659
1990,"female",35,56.1662902445022
1990,"female",40,60.8408214428282
1990,"female",45,53.2357187624747
1990,"female",50,72.6806384410675
1990,"female",55,105.826156085404
1990,"female",60,121.131735461077
1990,"female",65,121.094016577257
1990,"female",70,118.639601813515
1990,"female",75,169.285396719223
1990,"female",80,169.264023481101
1990,"female",85,376.735739852902
1991,"female",0,509.294950769757
1991,"female",1,102.434254991767
1991,"female",5,30.9089689744136
1991,"female",10,27.3834147007695
1991,"female",15,33.4686179676072
1991,"female",20,33.4686179676072
1991,"female",25,31.4402168786613
1991,"female",30,48.6816261347014
1991,"female",35,50.7100272236472
1991,"female",40,50.7100272236472
1991,"female",45,66.9372359352144
1991,"female",50,62.8804337573226
1991,"female",55,89.2496479136191
1991,"female",60,106.879710662979
1991,"female",65,130.266865781438
1991,"female",70,160.772543076318
1991,"female",75,161.728026182193
1991,"female",80,209.949455848492
1991,"female",85,449.689916042623
1992,"female",0,444.185778377235
1992,"female",1,78.8719188131402
1992,"female",5,30.3353533896693
1992,"female",10,29.324174943347
1992,"female",15,29.324174943347
1992,"female",20,38.4247809602478
1992,"female",25,46.5142085308263
1992,"female",30,45.8104829904803
1992,"female",35,46.5142085308263
1992,"female",40,38.9440347570079
1992,"female",45,58.9401327219512
1992,"female",50,83.6345255213595
1992,"female",55,102.871779610034
1992,"female",60,119.319056666033
1992,"female",65,117.726358014316
1992,"female",70,152.687945394669
1992,"female",75,174.93387121376
1992,"female",80,198.674368102293
1992,"female",85,424.409601208874
1993,"female",0,479.423875383756
1993,"female",1,74.0583431565043
1993,"female",5,18.2677246452711
1993,"female",10,30.4462077421184
1993,"female",15,27.4015869679066
1993,"female",20,41.6098172475619
1993,"female",25,33.4908285163303
1993,"female",30,42.6246908389658
1993,"female",35,58.862668301429
1993,"female",40,60.1754401112052
1993,"female",45,72.0560249896803
1993,"female",50,70.0262778068724
1993,"female",55,95.3981175919711
1993,"female",60,119.755083785666
1993,"female",65,147.592045519116
1993,"female",70,139.037682022341
1993,"female",75,121.784830968474
1993,"female",80,205.004465463597
1993,"female",85,389.26155147502
1994,"female",0,401.516280792209
1994,"female",1,84.7036901561711
1994,"female",5,34.284826967974
1994,"female",10,23.1926770665707
1994,"female",15,36.3015814955019
1994,"female",20,36.3015814955019
1994,"female",25,36.5373060506675
1994,"female",30,48.4021086606692
1994,"female",35,73.6115402547677
1994,"female",40,60.5026358258365
1994,"female",45,67.5612766721841
1994,"female",50,81.6785583648793
1994,"female",55,107.896367222742
1994,"female",60,124.030403442965
1994,"female",65,146.214703245772
1994,"female",70,166.38224852105
1994,"female",75,148.231457773299
1994,"female",80,214.78435718172
1994,"female",85,515.280781783374
1995,"female",0,401.026314857712
1995,"female",1,79.8012062311316
1995,"female",5,22.2231207225936
1995,"female",10,29.2941136797825
1995,"female",15,33.3346810838904
1995,"female",20,45.4563832962142
1995,"female",25,35.3549647859444
1995,"female",30,46.4665251472412
1995,"female",35,53.53751810443
1995,"female",40,52.5273762534031
1995,"female",45,74.7504969759967
1995,"female",50,106.064894357833
1995,"female",55,122.227163974265
1995,"female",60,159.051958352138
1995,"female",65,138.389433590697
1995,"female",70,177.784965780749
1995,"female",75,174.754540227668
1995,"female",80,218.190639821828
1995,"female",85,519.796952948035
1996,"female",0,407.161115110753
1996,"female",1,81.2520632367034
1996,"female",5,20.3130158091759
1996,"female",10,32.5008252946814
1996,"female",15,27.4225713423874
1996,"female",20,36.5634284565165
1996,"female",25,24.375618971011
1996,"female",30,35.5477776660577
1996,"female",35,51.7981903133984
1996,"female",40,76.1738092844094
1996,"female",45,80.2364124462446
1996,"female",50,85.3146663985386
1996,"female",55,111.721586950467
1996,"female",60,142.191110664231
1996,"female",65,151.33196777836
1996,"female",70,179.770189911206
1996,"female",75,185.864094653959
1996,"female",80,234.615332595981
1996,"female",85,566.733141076006
1997,"female",0,386.466918441431
1997,"female",1,80.0595289518601
1997,"female",5,23.308470454339
1997,"female",10,22.2950586954547
1997,"female",15,35.4694115609507
1997,"female",20,40.5364703553722
1997,"female",25,36.482823319835
1997,"female",30,45.6035291497937
1997,"female",35,52.6974114619838
1997,"female",40,76.0058819163228
1997,"female",45,67.8985878452484
1997,"female",50,98.3009406117775
1997,"female",55,115.528940512811
1997,"female",60,166.199528457026
1997,"female",65,158.092234385952
1997,"female",70,204.70917529463
1997,"female",75,197.615292982439
1997,"female",80,202.682351776861
1997,"female",85,506.705879442152
1998,"female",0,350.284756193951
1998,"female",1,62.8825219753419
1998,"female",5,22.3131529589923
1998,"female",10,28.3985583114447
1998,"female",15,40.5693690163496
1998,"female",20,47.6690085942108
1998,"female",25,51.7259454958458
1998,"female",30,45.6405401433933
1998,"female",35,62.8825219753419
1998,"female",40,59.8398192991157
1998,"female",45,91.2810802867866
1998,"female",50,76.0675669056555
1998,"female",55,122.722341274458
1998,"female",60,163.291710290807
1998,"female",65,172.419818319486
1998,"female",70,195.747205503887
1998,"female",75,237.330808745645
1998,"female",80,219.074592688288
1998,"female",85,586.227382286252
1999,"female",0,345.081810587906
1999,"female",1,50.7050037399329
1999,"female",5,23.3243017203692
1999,"female",10,25.3525018699665
1999,"female",15,34.4794025431544
1999,"female",20,33.4653024683557
1999,"female",25,33.4653024683557
1999,"female",30,42.5922031415437
1999,"female",35,49.6909036651343
1999,"female",40,69.9729051611075
1999,"female",45,89.240806582282
1999,"female",50,119.663808826242
1999,"female",55,129.804809574228
1999,"female",60,156.171411518993
1999,"female",65,201.805914884933
1999,"female",70,180.509813314161
1999,"female",75,243.384017951678
1999,"female",80,230.751436397906
1999,"female",85,536.458939568491
2000,"female",0,309.967963386728
2000,"female",1,46.5964912280702
2000,"female",5,26.3371472158658
2000,"female",10,22.2852784134249
2000,"female",15,40.5186880244088
2000,"female",20,27.350114416476
2000,"female",25,51.6613272311213
2000,"female",30,44.5705568268497
2000,"female",35,70.9077040427155
2000,"female",40,71.9206712433257
2000,"female",45,87.115179252479
2000,"female",50,90.1540808543097
2000,"female",55,149.919145690313
2000,"female",60,168.152555301297
2000,"female",65,208.671243325706
2000,"female",70,243.112128146453
2000,"female",75,238.047292143402
2000,"female",80,238.047292143402
2000,"female",85,520.665141113654
2001,"female",0,299.430613011849
2001,"female",1,46.3044454465173
2001,"female",5,24.1588411025308
2001,"female",10,25.1654594818029
2001,"female",15,38.2514984123404
2001,"female",20,49.3243005843336
2001,"female",25,35.231643274524
2001,"female",30,55.3640108599663
2001,"female",35,58.6728950373756
2001,"female",40,81.5360887210413
2001,"female",45,90.5956541344903
2001,"female",50,94.6221276515788
2001,"female",55,141.933191477368
2001,"female",60,168.105269338443
2001,"female",65,196.290583958062
2001,"female",70,199.75832772306
2001,"female",75,185.631214334699
2001,"female",80,215.416333164233
2001,"female",85,579.812186460738
2002,"female",0,290.868596942842
2002,"female",1,44.2152977489455
2002,"female",5,26.1272213971042
2002,"female",10,26.1272213971042
2002,"female",15,34.166366442367
2002,"female",20,30.1467939197356
2002,"female",25,48.2348702715769
2002,"female",30,46.2250840102612
2002,"female",35,74.7196017247805
2002,"female",40,52.2544427942083
2002,"female",45,96.4697405431538
2002,"female",50,114.557816894995
2002,"female",55,158.773114643941
2002,"female",60,158.773114643941
2002,"female",65,170.831832211835
